time,frequency,confidence
0.000,150.141,0.015072
0.010,293.331,0.339944
0.020,292.926,0.360445
0.030,37.148,0.099595
0.040,299.449,0.224366
0.050,299.285,0.535992
0.060,303.178,0.652495
0.070,305.852,0.649752
0.080,305.471,0.550102
0.090,35.176,0.110427
0.100,35.037,0.081299
0.110,295.151,0.103299
0.120,298.522,0.276211
0.130,99.010,0.066289
0.140,310.419,0.063705
0.150,34.784,0.475653
0.160,34.608,0.774953
0.170,34.482,0.600478
0.180,38.265,0.476513
0.190,38.298,0.640021
0.200,37.753,0.633386
0.210,36.792,0.578721
0.220,36.239,0.155705
0.230,81.985,0.010842
0.240,153.526,0.023791
0.250,152.886,0.037678
0.260,154.806,0.352384
0.270,154.598,0.249842
0.280,154.302,0.280459
0.290,32.204,0.041285
0.300,32.164,0.025970
0.310,51.487,0.041810
0.320,50.719,0.061691
0.330,143.396,0.200520
0.340,35.144,0.347904
0.350,35.033,0.423206
0.360,35.571,0.332471
0.370,140.872,0.604745
0.380,141.861,0.621596
0.390,141.681,0.740020
0.400,35.198,0.779913
0.410,139.959,0.532404
0.420,139.264,0.447237
0.430,138.753,0.570012
0.440,138.460,0.759919
0.450,139.217,0.679529
0.460,139.636,0.377950
0.470,138.912,0.165310
0.480,139.042,0.105822
0.490,34.655,0.274736
0.500,34.249,0.407293
0.510,33.413,0.159844
0.520,36.915,0.223161
0.530,33.085,0.497580
0.540,34.181,0.543477
0.550,138.519,0.644867
0.560,137.409,0.767387
0.570,135.646,0.579272
0.580,134.672,0.426694
0.590,134.859,0.186567
0.600,34.147,0.080226
0.610,34.500,0.375326
0.620,138.564,0.115434
0.630,38.309,0.118357
0.640,33.073,0.527929
0.650,33.089,0.767326
0.660,34.092,0.686990
0.670,33.374,0.214707
0.680,32.393,0.025137
0.690,32.250,0.043828
0.700,32.355,0.031120
0.710,32.355,0.207282
0.720,32.759,0.742559
0.730,32.891,0.708431
0.740,38.237,0.428185
0.750,38.380,0.412805
0.760,33.386,0.101960
0.770,33.637,0.667840
0.780,34.103,0.326604
0.790,155.599,0.164554
0.800,32.066,0.065045
0.810,32.198,0.044698
0.820,32.470,0.070011
0.830,33.820,0.339688
0.840,33.851,0.179993
0.850,34.186,0.116109
0.860,32.301,0.097524
0.870,32.388,0.621222
0.880,32.617,0.297516
0.890,36.219,0.419246
0.900,35.613,0.639088
0.910,35.038,0.847381
0.920,34.355,0.677347
0.930,34.948,0.340943
0.940,32.425,0.084792
0.950,32.075,0.116975
0.960,32.050,0.047169
0.970,32.137,0.040959
0.980,155.905,0.091597
0.990,39.043,0.341453
1.000,39.041,0.423074
1.010,39.040,0.089169
1.020,32.105,0.110959
1.030,32.700,0.074895
1.040,156.977,0.079322
1.050,42.337,0.165033
1.060,34.953,0.062105
1.070,32.161,0.031688
1.080,55.375,0.026213
1.090,32.082,0.012875
1.100,32.139,0.089762
1.110,37.728,0.521286
1.120,37.546,0.614335
1.130,37.579,0.241005
1.140,62.201,0.016542
1.150,154.958,0.021830
1.160,153.082,0.020310
1.170,152.621,0.161794
1.180,36.412,0.715080
1.190,36.403,0.588880
1.200,37.059,0.163523
1.210,36.062,0.052635
1.220,33.093,0.139110
1.230,154.920,0.113504
1.240,36.197,0.181912
1.250,36.778,0.214332
1.260,152.538,0.090925
1.270,38.949,0.106206
1.280,32.262,0.012954
1.290,38.253,0.130157
1.300,35.175,0.083813
1.310,78.711,0.298790
1.320,79.603,0.139935
1.330,38.801,0.227139
1.340,38.421,0.159863
1.350,34.968,0.370888
1.360,35.220,0.088725
1.370,153.689,0.037617
1.380,154.872,0.061765
1.390,162.332,0.046117
1.400,167.971,0.034730
1.410,170.191,0.080187
1.420,174.857,0.122896
1.430,155.133,0.053241
1.440,180.465,0.251495
1.450,180.385,0.369672
1.460,178.267,0.196453
1.470,177.636,0.283168
1.480,174.937,0.258123
1.490,35.763,0.402996
1.500,175.978,0.319803
