time,frequency,confidence
0.000,1041.654,0.007417
0.010,32.234,0.010372
0.020,32.288,0.030533
0.030,32.441,0.159014
0.040,141.308,0.039422
0.050,211.033,0.028986
0.060,219.591,0.050818
0.070,138.718,0.072232
0.080,138.993,0.178329
0.090,57.977,0.263935
0.100,61.937,0.174383
0.110,61.444,0.044135
0.120,58.363,0.079551
0.130,57.842,0.129354
0.140,57.953,0.139843
0.150,57.868,0.084208
0.160,57.864,0.056067
0.170,130.066,0.084432
0.180,132.887,0.074809
0.190,138.416,0.099125
0.200,57.553,0.192049
0.210,57.569,0.107430
0.220,57.445,0.115301
0.230,61.897,0.348461
0.240,62.931,0.462580
0.250,63.017,0.306549
0.260,154.363,0.221792
0.270,154.276,0.259485
0.280,157.139,0.202177
0.290,155.675,0.075627
0.300,63.165,0.017361
0.310,62.129,0.088083
0.320,60.311,0.145234
0.330,58.622,0.376020
0.340,57.536,0.051575
0.350,52.599,0.066000
0.360,54.546,0.071373
0.370,205.581,0.055745
0.380,33.426,0.126233
0.390,86.244,0.053823
0.400,62.588,0.043373
0.410,180.854,0.111182
0.420,57.311,0.007333
0.430,180.178,0.038924
0.440,60.876,0.140311
0.450,61.220,0.171583
0.460,58.359,0.138081
0.470,57.745,0.456154
0.480,58.122,0.242344
0.490,84.532,0.030754
0.500,32.009,0.049075
0.510,31.856,0.037046
0.520,31.962,0.058242
0.530,62.053,0.252603
0.540,62.207,0.288470
0.550,179.924,0.050736
0.560,180.916,0.084478
0.570,83.360,0.081290
0.580,422.961,0.607965
0.590,427.187,0.578055
0.600,426.365,0.683341
0.610,430.268,0.663349
0.620,431.573,0.596215
0.630,432.817,0.634630
0.640,434.087,0.834340
0.650,435.146,0.898171
0.660,435.575,0.900635
0.670,436.704,0.924642
0.680,437.373,0.914052
0.690,437.790,0.914613
0.700,438.072,0.911463
0.710,438.228,0.914086
0.720,438.100,0.918868
0.730,437.874,0.920505
0.740,437.972,0.923436
0.750,438.362,0.922833
0.760,438.927,0.945547
0.770,439.071,0.950770
0.780,439.258,0.950858
0.790,439.106,0.944251
0.800,438.832,0.941710
0.810,438.760,0.936082
0.820,438.847,0.940783
0.830,438.864,0.943254
0.840,439.033,0.945822
0.850,438.693,0.939716
0.860,438.748,0.940848
0.870,439.039,0.948925
0.880,439.124,0.951831
0.890,439.327,0.957734
0.900,439.116,0.952951
0.910,439.213,0.955773
0.920,439.384,0.956513
0.930,439.644,0.962356
0.940,439.945,0.966107
0.950,439.708,0.964194
0.960,439.301,0.956920
0.970,439.167,0.955337
0.980,439.186,0.955233
0.990,439.608,0.960406
1.000,439.806,0.964891
1.010,439.899,0.963918
1.020,439.921,0.963395
1.030,439.792,0.963267
1.040,439.994,0.969038
1.050,440.959,0.945497
1.060,442.863,0.760024
1.070,488.043,0.811498
1.080,491.259,0.938223
1.090,491.947,0.954041
1.100,491.523,0.962916
1.110,491.651,0.957474
1.120,491.411,0.957073
1.130,492.187,0.953218
1.140,492.284,0.957374
1.150,491.855,0.961860
1.160,492.302,0.951302
1.170,493.221,0.961873
1.180,494.001,0.972797
1.190,494.132,0.972150
1.200,493.362,0.964014
1.210,492.968,0.959055
1.220,493.087,0.963999
1.230,493.732,0.973295
1.240,494.462,0.977406
1.250,495.110,0.979941
1.260,495.435,0.978315
1.270,495.223,0.975734
1.280,495.453,0.972774
1.290,495.469,0.975393
1.300,495.200,0.978219
1.310,494.815,0.979092
1.320,494.303,0.977321
1.330,494.308,0.976556
1.340,494.497,0.977507
1.350,494.869,0.979706
1.360,495.084,0.979121
1.370,495.087,0.978853
1.380,495.398,0.975738
1.390,495.267,0.977325
1.400,495.011,0.978858
1.410,495.137,0.967140
1.420,500.122,0.819329
1.430,512.005,0.740956
1.440,520.655,0.914419
1.450,521.919,0.929027
1.460,521.861,0.932123
1.470,522.662,0.934452
1.480,522.792,0.938041
1.490,522.826,0.943960
1.500,523.409,0.952023
1.510,524.112,0.959281
1.520,524.662,0.958908
1.530,524.406,0.955425
1.540,524.915,0.958758
1.550,525.370,0.959512
1.560,525.681,0.958733
1.570,524.621,0.956389
1.580,523.359,0.948397
1.590,522.571,0.934450
1.600,521.538,0.933592
1.610,519.543,0.940119
1.620,518.742,0.924945
1.630,519.659,0.927152
1.640,521.269,0.927766
1.650,522.752,0.941172
1.660,523.798,0.952682
1.670,524.740,0.956030
1.680,525.283,0.958236
1.690,525.107,0.960429
1.700,525.098,0.956993
1.710,525.050,0.955554
1.720,524.185,0.954026
1.730,524.182,0.956271
1.740,524.049,0.957084
1.750,523.695,0.949337
1.760,523.029,0.900006
1.770,524.133,0.735780
1.780,335.204,0.332605
1.790,332.160,0.750288
1.800,331.365,0.798291
1.810,329.793,0.908830
1.820,329.389,0.900639
1.830,329.475,0.906349
1.840,329.407,0.875578
1.850,328.720,0.768997
1.860,656.851,0.755151
1.870,657.447,0.907373
1.880,658.273,0.942178
1.890,658.200,0.943855
1.900,658.317,0.945620
1.910,659.154,0.956772
1.920,658.942,0.956325
1.930,659.107,0.958243
1.940,659.172,0.960317
1.950,659.443,0.960127
1.960,659.117,0.954266
1.970,658.904,0.950564
1.980,659.600,0.961163
1.990,659.917,0.954005
2.000,659.103,0.950952
2.010,659.130,0.953860
2.020,659.449,0.955625
2.030,659.749,0.958252
2.040,659.584,0.958080
2.050,659.741,0.959374
2.060,660.256,0.961131
2.070,659.982,0.959154
2.080,659.181,0.954702
2.090,658.759,0.947562
2.100,658.294,0.921134
2.110,659.843,0.894196
2.120,661.702,0.865510
2.130,663.280,0.923393
2.140,662.819,0.876611
2.150,662.860,0.733986
2.160,663.480,0.504257
2.170,664.909,0.363479
2.180,662.678,0.377179
2.190,411.688,0.383065
2.200,412.040,0.512823
2.210,411.843,0.678713
2.220,411.700,0.763825
2.230,412.602,0.803202
2.240,412.965,0.778758
2.250,413.097,0.836016
2.260,413.635,0.842952
2.270,413.085,0.872626
2.280,412.987,0.897248
2.290,412.679,0.872864
2.300,412.601,0.899087
2.310,412.593,0.893164
2.320,412.683,0.917975
2.330,412.103,0.930157
2.340,412.473,0.937924
2.350,412.619,0.943616
2.360,412.605,0.956827
2.370,413.013,0.951546
2.380,413.253,0.952554
2.390,413.567,0.949322
2.400,413.492,0.951908
2.410,413.977,0.940024
2.420,413.766,0.942474
2.430,413.631,0.946066
2.440,413.459,0.942825
2.450,413.148,0.955802
2.460,413.298,0.950065
2.470,413.462,0.946271
2.480,413.552,0.942583
2.490,413.526,0.944337
2.500,413.547,0.937884
2.510,413.278,0.949033
2.520,413.338,0.949244
2.530,413.966,0.910505
2.540,415.818,0.783693
2.550,417.835,0.636869
2.560,428.724,0.656179
2.570,429.940,0.839419
2.580,430.971,0.887288
2.590,432.708,0.851514
2.600,435.788,0.869930
2.610,436.944,0.872711
