time,frequency,confidence
0.000,1044.214,0.033323
0.010,552.565,0.059990
0.020,32.325,0.018377
0.030,53.385,0.019844
0.040,125.926,0.262925
0.050,124.203,0.376783
0.060,124.126,0.147409
0.070,49.631,0.386054
0.080,49.505,0.383004
0.090,49.699,0.293260
0.100,49.418,0.153194
0.110,48.168,0.234068
0.120,46.787,0.599486
0.130,46.626,0.472474
0.140,46.605,0.522752
0.150,46.352,0.354786
0.160,46.512,0.217465
0.170,175.788,0.049347
0.180,148.144,0.040764
0.190,140.503,0.023687
0.200,130.130,0.047739
0.210,129.137,0.079090
0.220,125.706,0.084220
0.230,242.203,0.074917
0.240,51.107,0.102109
0.250,50.418,0.489682
0.260,49.619,0.503037
0.270,49.426,0.208658
0.280,147.182,0.117353
0.290,49.358,0.243803
0.300,49.666,0.172983
0.310,50.741,0.367259
0.320,49.751,0.438753
0.330,582.993,0.371909
0.340,585.344,0.509520
0.350,588.891,0.754641
0.360,590.208,0.647677
0.370,592.380,0.640698
0.380,594.512,0.709507
0.390,595.321,0.801049
0.400,596.480,0.773917
0.410,595.807,0.811546
0.420,595.826,0.785794
0.430,592.144,0.878499
0.440,589.735,0.826546
0.450,587.599,0.888473
0.460,585.874,0.776123
0.470,585.938,0.860518
0.480,586.923,0.875960
0.490,587.977,0.934772
0.500,589.297,0.850599
0.510,591.930,0.725722
0.520,595.252,0.518736
0.530,596.697,0.664594
0.540,597.649,0.691237
0.550,596.076,0.805313
0.560,595.128,0.751041
0.570,593.754,0.806068
0.580,593.261,0.738738
0.590,592.392,0.829551
0.600,591.964,0.772794
0.610,591.000,0.831968
0.620,591.045,0.744074
0.630,591.988,0.704311
0.640,593.207,0.576467
0.650,593.735,0.560870
0.660,593.717,0.331666
0.670,590.862,0.550825
0.680,590.716,0.462072
0.690,590.583,0.462482
0.700,589.098,0.324587
0.710,589.296,0.501261
0.720,590.104,0.667536
0.730,593.857,0.783222
0.740,595.146,0.839062
0.750,594.076,0.877115
0.760,593.164,0.879114
0.770,591.313,0.934345
0.780,590.428,0.950047
0.790,589.376,0.971435
0.800,589.069,0.972369
0.810,589.118,0.977081
0.820,590.028,0.968702
0.830,592.543,0.933863
0.840,595.496,0.858327
0.850,597.630,0.854370
0.860,598.505,0.864504
0.870,598.874,0.874833
0.880,598.420,0.864847
0.890,596.369,0.878099
0.900,593.321,0.912386
0.910,590.778,0.963437
0.920,589.112,0.955801
0.930,588.338,0.955307
0.940,588.357,0.911188
0.950,588.799,0.929496
0.960,591.374,0.853728
0.970,593.960,0.818494
0.980,596.274,0.785567
0.990,595.914,0.848614
1.000,596.327,0.850821
1.010,594.528,0.828514
1.020,593.968,0.822031
1.030,591.516,0.853399
1.040,590.929,0.736909
1.050,589.190,0.755461
1.060,590.270,0.711552
1.070,591.624,0.773308
1.080,593.792,0.619368
1.090,593.438,0.746686
1.100,592.498,0.703392
1.110,589.714,0.845636
1.120,589.473,0.873890
1.130,588.866,0.930513
1.140,588.317,0.937538
1.150,588.088,0.961847
1.160,588.788,0.973575
1.170,590.001,0.972026
1.180,592.352,0.938198
1.190,594.861,0.881536
1.200,597.793,0.808174
1.210,600.008,0.843482
1.220,600.165,0.860557
1.230,600.485,0.864798
1.240,598.056,0.822022
1.250,596.224,0.870894
1.260,594.047,0.885738
1.270,591.087,0.949250
1.280,589.256,0.951395
1.290,587.916,0.956752
1.300,587.753,0.909471
1.310,587.799,0.933515
1.320,589.612,0.894939
1.330,591.291,0.884877
1.340,592.783,0.795984
1.350,593.737,0.809670
1.360,595.788,0.751293
1.370,596.508,0.811086
1.380,595.743,0.782125
1.390,595.270,0.806712
1.400,596.599,0.763557
1.410,597.006,0.771252
1.420,596.185,0.751932
1.430,594.343,0.808226
1.440,593.614,0.778073
1.450,593.131,0.825824
1.460,593.560,0.782121
1.470,592.823,0.788077
1.480,592.986,0.794902
1.490,592.022,0.757985
1.500,590.921,0.734626
1.510,591.982,0.761093
1.520,595.737,0.728270
1.530,598.941,0.696915
1.540,600.733,0.769799
1.550,601.579,0.826160
1.560,601.410,0.842532
1.570,599.905,0.843071
1.580,596.987,0.864470
1.590,594.213,0.872648
1.600,592.331,0.924860
1.610,591.060,0.951661
1.620,590.420,0.959846
1.630,590.034,0.971787
1.640,590.512,0.972337
1.650,592.715,0.942480
1.660,595.242,0.904298
1.670,597.332,0.858371
1.680,598.762,0.828252
1.690,600.212,0.876891
1.700,599.656,0.872302
1.710,597.745,0.887115
1.720,594.758,0.885434
1.730,592.814,0.921074
1.740,591.110,0.925137
1.750,590.651,0.930580
1.760,591.824,0.898304
1.770,594.185,0.863764
1.780,595.913,0.844269
1.790,597.289,0.850773
1.800,597.279,0.806525
1.810,596.551,0.864346
1.820,594.832,0.852486
1.830,592.908,0.881763
1.840,591.684,0.856883
1.850,589.086,0.865529
1.860,587.028,0.539918
1.870,582.933,0.433131
1.880,534.733,0.201951
1.890,529.095,0.728545
1.900,528.280,0.878439
1.910,529.375,0.908820
1.920,529.199,0.913809
1.930,529.343,0.922096
1.940,529.243,0.924095
1.950,530.256,0.943996
1.960,531.241,0.959504
1.970,532.683,0.962257
1.980,533.031,0.954522
1.990,533.588,0.939753
2.000,534.251,0.916932
2.010,534.975,0.915303
2.020,534.717,0.877711
2.030,535.113,0.836427
2.040,531.866,0.708353
2.050,533.043,0.645061
2.060,482.697,0.280027
2.070,473.371,0.557257
2.080,470.868,0.745730
2.090,469.641,0.898980
2.100,470.001,0.935798
2.110,470.611,0.935473
2.120,471.189,0.923987
2.130,471.275,0.926554
2.140,470.900,0.934120
2.150,471.313,0.917515
2.160,471.622,0.892329
2.170,472.781,0.895075
2.180,473.243,0.836052
2.190,475.207,0.760260
2.200,478.803,0.689388
2.210,481.110,0.671426
2.220,479.985,0.635350
2.230,477.269,0.541960
2.240,523.522,0.476954
2.250,525.726,0.681927
2.260,528.649,0.882106
2.270,529.186,0.902972
2.280,527.280,0.892181
2.290,525.845,0.919334
2.300,522.873,0.934790
2.310,523.090,0.939538
2.320,522.776,0.939761
2.330,524.053,0.956061
2.340,524.438,0.956210
2.350,526.033,0.951380
2.360,528.720,0.901091
2.370,532.696,0.956931
