time,frequency,confidence
0.000,180.251,0.026357
0.010,207.640,0.019975
0.020,32.369,0.022389
0.030,32.320,0.019286
0.040,129.996,0.048272
0.050,42.933,0.051147
0.060,140.127,0.237916
0.070,35.207,0.443987
0.080,147.552,0.043637
0.090,153.746,0.040376
0.100,39.142,0.078394
0.110,38.447,0.148711
0.120,185.142,0.225027
0.130,166.759,0.062065
0.140,192.736,0.036344
0.150,39.239,0.321495
0.160,37.769,0.153646
0.170,185.178,0.245122
0.180,38.212,0.122079
0.190,164.931,0.015121
0.200,138.811,0.013394
0.210,122.250,0.006819
0.220,58.337,0.031016
0.230,144.253,0.056866
0.240,150.285,0.177054
0.250,36.834,0.350120
0.260,36.676,0.278049
0.270,132.737,0.028962
0.280,132.235,0.041141
0.290,186.030,0.091873
0.300,182.580,0.169108
0.310,181.649,0.317933
0.320,180.270,0.416900
0.330,179.771,0.392151
0.340,176.309,0.421518
0.350,187.441,0.106966
0.360,39.130,0.077283
0.370,39.064,0.099615
0.380,39.384,0.605241
0.390,39.004,0.680013
0.400,38.855,0.498125
0.410,39.044,0.032411
0.420,183.262,0.091968
0.430,181.688,0.401293
0.440,177.612,0.488035
0.450,176.505,0.194536
0.460,175.720,0.239014
0.470,63.593,0.163547
0.480,178.766,0.126696
0.490,177.865,0.133798
0.500,177.590,0.167038
0.510,43.730,0.241243
0.520,43.462,0.475027
0.530,43.581,0.303477
0.540,44.561,0.074517
0.550,140.925,0.098153
0.560,45.682,0.067161
0.570,43.713,0.087510
0.580,45.495,0.097840
0.590,182.843,0.023339
0.600,44.551,0.113938
0.610,165.979,0.151534
0.620,44.637,0.041883
0.630,41.847,0.018586
0.640,41.321,0.080846
0.650,68.444,0.063302
0.660,154.531,0.021081
0.670,52.008,0.028247
0.680,41.282,0.058836
0.690,40.249,0.222014
0.700,41.278,0.403474
0.710,41.282,0.333733
0.720,41.267,0.155892
0.730,48.461,0.027742
0.740,41.952,0.037262
0.750,43.003,0.052992
0.760,39.876,0.106533
0.770,133.234,0.042081
0.780,41.469,0.090167
0.790,41.746,0.117458
0.800,152.381,0.061253
0.810,155.055,0.153934
