time,frequency,confidence
0.000,547.124,0.141269
0.010,547.124,0.141269
0.020,547.124,0.141269
0.030,547.124,0.141269
0.040,285.254,0.114345
0.050,289.983,0.067253
0.060,32.265,0.106404
0.070,32.218,0.069587
0.080,51.166,0.080353
0.090,51.342,0.030922
0.100,244.122,0.231621
0.110,243.988,0.310556
0.120,243.442,0.124771
0.130,240.204,0.010313
0.140,980.865,0.015717
0.150,145.709,0.088879
0.160,205.444,0.209762
0.170,287.465,0.077114
0.180,300.145,0.218722
0.190,256.394,0.117590
0.200,252.760,0.162323
0.210,183.177,0.158105
0.220,176.107,0.052592
0.230,174.985,0.036678
0.240,158.931,0.034754
0.250,222.861,0.020210
0.260,43.365,0.076442
0.270,208.903,0.177830
0.280,202.919,0.239312
0.290,190.401,0.160537
0.300,94.321,0.139096
0.310,158.784,0.055481
0.320,158.055,0.090738
0.330,188.085,0.050212
0.340,45.861,0.546861
0.350,45.638,0.519313
0.360,43.948,0.183973
0.370,44.893,0.054179
0.380,54.454,0.012087
0.390,37.631,0.050372
0.400,36.615,0.188619
0.410,36.750,0.094380
0.420,99.826,0.092418
0.430,203.012,0.061824
0.440,98.896,0.046678
0.450,32.550,0.047357
0.460,161.790,0.030017
0.470,233.626,0.050279
0.480,125.058,0.295613
0.490,123.941,0.500388
0.500,123.423,0.201950
0.510,304.689,0.030751
0.520,308.324,0.027380
0.530,43.928,0.060907
0.540,151.126,0.053862
0.550,48.656,0.093046
0.560,32.536,0.126876
0.570,32.351,0.028106
0.580,32.398,0.017369
0.590,41.563,0.023469
0.600,41.560,0.153909
0.610,41.400,0.270886
0.620,141.822,0.040737
0.630,279.903,0.065697
0.640,264.052,0.144270
0.650,32.683,0.138500
0.660,155.122,0.064088
0.670,51.435,0.073096
0.680,114.247,0.033051
0.690,56.946,0.039792
0.700,81.984,0.062019
0.710,32.366,0.420815
0.720,40.086,0.065367
0.730,40.288,0.092804
0.740,138.214,0.111804
0.750,136.074,0.151197
0.760,135.206,0.057517
0.770,132.057,0.051239
0.780,47.395,0.106521
0.790,48.970,0.346404
0.800,48.700,0.602715
0.810,48.930,0.306041
0.820,49.470,0.254836
0.830,49.732,0.427288
0.840,50.148,0.306616
0.850,49.704,0.232316
0.860,49.767,0.275955
0.870,49.507,0.135057
0.880,50.310,0.330290
0.890,50.411,0.501578
0.900,50.143,0.435910
0.910,49.272,0.450025
0.920,48.857,0.457889
0.930,146.463,0.110592
0.940,152.643,0.138948
0.950,220.414,0.153212
0.960,51.514,0.079089
0.970,173.678,0.051514
0.980,48.599,0.412952
0.990,48.494,0.318237
1.000,49.579,0.180612
1.010,50.710,0.346043
1.020,51.247,0.507818
1.030,51.068,0.204199
1.040,51.859,0.648442
1.050,49.786,0.169941
1.060,49.702,0.498872
1.070,49.603,0.388578
1.080,51.085,0.322645
1.090,51.921,0.120942
1.100,51.450,0.210114
1.110,49.470,0.077155
1.120,49.134,0.416327
1.130,49.203,0.293872
1.140,49.430,0.128762
1.150,51.019,0.157058
1.160,51.526,0.175314
1.170,50.477,0.155493
1.180,49.935,0.690011
1.190,49.053,0.794026
1.200,47.892,0.594247
1.210,43.642,0.307078
1.220,44.681,0.388240
1.230,45.630,0.165681
1.240,151.847,0.064288
1.250,149.297,0.353739
1.260,151.944,0.465764
1.270,151.935,0.243697
1.280,466.331,0.630142
1.290,469.197,0.202910
1.300,472.824,0.432656
1.310,237.008,0.756450
1.320,236.445,0.823796
1.330,235.844,0.801048
1.340,236.031,0.830431
1.350,236.012,0.830600
1.360,235.429,0.819103
1.370,235.500,0.842294
1.380,236.033,0.809635
1.390,235.732,0.841566
1.400,235.939,0.837651
1.410,236.361,0.844914
1.420,236.774,0.849564
1.430,236.188,0.861385
1.440,235.881,0.836123
1.450,235.872,0.851050
1.460,235.870,0.852660
1.470,234.833,0.877424
1.480,234.313,0.889152
1.490,233.550,0.889875
1.500,233.928,0.883913
1.510,234.267,0.881507
1.520,235.098,0.882683
1.530,235.564,0.880657
1.540,236.224,0.887528
1.550,236.948,0.909932
1.560,236.931,0.915394
1.570,236.822,0.916080
1.580,236.891,0.920830
1.590,236.426,0.923372
1.600,235.999,0.906888
1.610,235.249,0.912768
1.620,234.691,0.927181
1.630,233.641,0.933568
1.640,233.393,0.926994
1.650,233.290,0.918359
1.660,234.322,0.936992
1.670,235.634,0.895037
1.680,236.678,0.926646
1.690,237.059,0.935575
1.700,237.253,0.921975
1.710,237.193,0.936827
1.720,236.937,0.934128
1.730,236.119,0.932818
1.740,235.585,0.907221
1.750,234.561,0.937470
1.760,233.585,0.928635
1.770,232.578,0.892869
1.780,233.030,0.914208
1.790,233.496,0.932708
1.800,234.954,0.932246
1.810,236.257,0.908285
1.820,237.276,0.933415
1.830,237.396,0.937261
1.840,237.401,0.939364
1.850,236.866,0.946412
1.860,236.441,0.939972
1.870,235.514,0.911308
1.880,234.639,0.936344
1.890,233.303,0.934329
1.900,232.768,0.907758
1.910,232.071,0.883577
1.920,232.259,0.891732
1.930,232.748,0.904604
1.940,234.288,0.933798
1.950,235.718,0.901101
1.960,236.759,0.929904
1.970,237.169,0.936045
1.980,237.285,0.935449
1.990,236.832,0.942222
2.000,236.423,0.932324
2.010,235.321,0.923106
2.020,234.399,0.944165
2.030,233.238,0.933398
2.040,232.699,0.898700
2.050,231.731,0.894835
2.060,232.088,0.900038
2.070,233.268,0.924129
2.080,234.930,0.930735
2.090,236.269,0.918673
2.100,237.258,0.936496
2.110,237.440,0.942944
2.120,237.216,0.945742
2.130,236.609,0.946954
2.140,236.029,0.938681
2.150,234.896,0.942517
2.160,234.254,0.951931
2.170,233.258,0.933535
2.180,232.583,0.896996
2.190,232.575,0.899547
2.200,233.577,0.937132
2.210,234.857,0.938885
2.220,236.354,0.927224
2.230,237.170,0.938896
2.240,237.269,0.946322
2.250,236.673,0.949426
2.260,236.321,0.945823
2.270,235.405,0.927227
2.280,234.587,0.949023
2.290,233.937,0.956376
2.300,234.129,0.956551
2.310,234.638,0.949655
2.320,235.630,0.905603
2.330,236.814,0.936226
2.340,238.319,0.914127
2.350,240.575,0.896831
2.360,243.795,0.804721
2.370,251.954,0.697614
2.380,259.306,0.715792
2.390,270.564,0.866677
2.400,276.702,0.838991
2.410,284.426,0.836178
2.420,291.958,0.769927
2.430,296.578,0.821596
2.440,299.096,0.853908
2.450,299.942,0.859553
2.460,300.480,0.879706
2.470,300.596,0.899089
2.480,300.123,0.879087
2.490,299.414,0.899035
2.500,298.651,0.918986
2.510,297.833,0.925233
2.520,297.185,0.908903
2.530,296.950,0.911638
2.540,296.973,0.902046
2.550,296.677,0.897213
2.560,296.902,0.904568
2.570,297.396,0.928862
2.580,298.630,0.923334
2.590,300.139,0.901817
