time,frequency,confidence
0.000,554.277,0.121862
0.010,223.500,0.084166
0.020,219.562,0.046814
0.030,661.592,0.046879
0.040,643.807,0.077041
0.050,632.694,0.106938
0.060,32.520,0.018302
0.070,32.594,0.007563
0.080,32.594,0.051245
0.090,32.336,0.119441
0.100,32.130,0.110275
0.110,100.203,0.047988
0.120,83.759,0.041364
0.130,84.375,0.111866
0.140,83.179,0.068227
0.150,251.457,0.230253
0.160,32.085,0.070675
0.170,80.184,0.066034
0.180,82.782,0.087701
0.190,83.800,0.094316
0.200,633.800,0.053083
0.210,1032.407,0.043242
0.220,128.435,0.049439
0.230,127.657,0.050798
0.240,124.149,0.148920
0.250,122.824,0.078974
0.260,123.785,0.012042
0.270,256.523,0.019900
0.280,84.485,0.039416
0.290,258.959,0.040033
0.300,206.595,0.011309
0.310,631.726,0.017045
0.320,625.867,0.051245
0.330,252.841,0.036627
0.340,632.497,0.070652
0.350,85.339,0.137502
0.360,83.853,0.130883
0.370,256.150,0.042143
0.380,1164.803,0.053097
0.390,1181.826,0.056970
0.400,251.916,0.219352
0.410,250.299,0.500646
0.420,249.089,0.077948
0.430,32.113,0.012257
0.440,248.441,0.019970
0.450,98.591,0.050696
0.460,633.523,0.108630
0.470,632.924,0.096325
0.480,243.193,0.098149
0.490,241.967,0.102783
0.500,243.165,0.089221
0.510,245.060,0.111188
0.520,245.617,0.045096
0.530,243.853,0.027307
0.540,956.900,0.112576
0.550,292.905,0.081175
0.560,495.071,0.217822
0.570,496.678,0.750107
0.580,496.626,0.916215
0.590,496.923,0.949905
0.600,496.498,0.965853
0.610,495.705,0.972439
0.620,494.455,0.970999
0.630,493.464,0.962381
0.640,493.222,0.961072
0.650,493.362,0.965520
0.660,494.008,0.970519
0.670,495.257,0.972384
0.680,495.953,0.972617
0.690,496.203,0.973233
0.700,496.372,0.972403
0.710,496.959,0.966871
0.720,497.503,0.962129
0.730,497.663,0.959910
0.740,496.899,0.965588
0.750,494.873,0.968850
0.760,493.060,0.950967
0.770,491.915,0.952281
0.780,491.357,0.956099
0.790,490.812,0.951137
0.800,490.704,0.941827
0.810,491.057,0.942303
0.820,490.666,0.951056
0.830,491.327,0.943884
0.840,492.089,0.924313
0.850,494.219,0.954465
0.860,496.842,0.956675
0.870,498.022,0.950785
0.880,497.247,0.964990
0.890,495.557,0.977390
0.900,493.198,0.957328
0.910,491.010,0.962136
0.920,488.915,0.960665
0.930,487.277,0.924903
0.940,485.641,0.950677
0.950,485.786,0.953818
0.960,487.660,0.944209
0.970,489.684,0.969519
0.980,491.765,0.956982
0.990,494.281,0.964897
1.000,496.756,0.965882
1.010,497.328,0.962918
1.020,496.598,0.970335
1.030,495.774,0.973802
1.040,495.148,0.972227
1.050,494.686,0.967473
1.060,494.540,0.964018
1.070,494.849,0.967362
1.080,495.361,0.972033
1.090,495.073,0.972405
1.100,494.769,0.962614
1.110,495.005,0.942047
1.120,495.430,0.915270
1.130,495.159,0.917303
1.140,493.623,0.914733
1.150,493.698,0.893921
1.160,494.567,0.802411
1.170,495.664,0.694153
1.180,495.351,0.846379
1.190,494.894,0.910761
1.200,494.504,0.692195
1.210,247.791,0.850371
1.220,247.563,0.913501
1.230,247.172,0.935479
1.240,247.181,0.936593
1.250,246.393,0.914140
1.260,245.794,0.943247
1.270,245.342,0.951703
1.280,245.373,0.956961
1.290,245.973,0.938087
1.300,246.905,0.926103
1.310,247.493,0.938066
1.320,247.710,0.945686
1.330,247.768,0.944025
1.340,247.341,0.939500
1.350,246.802,0.922647
1.360,246.123,0.917116
1.370,245.783,0.940520
1.380,245.948,0.936282
1.390,246.317,0.918116
1.400,246.742,0.915748
1.410,247.088,0.918765
1.420,247.435,0.914155
1.430,247.159,0.874577
1.440,246.542,0.831784
1.450,247.082,0.739756
1.460,990.312,0.621378
1.470,249.161,0.277736
1.480,293.365,0.616584
1.490,292.477,0.782672
1.500,292.360,0.904371
1.510,292.989,0.924797
1.520,293.198,0.949661
1.530,293.335,0.957793
1.540,293.320,0.959362
1.550,293.318,0.961968
1.560,293.551,0.966314
1.570,293.470,0.961386
1.580,293.579,0.964382
1.590,293.523,0.960475
1.600,293.453,0.961420
1.610,293.320,0.959179
1.620,293.367,0.963409
1.630,293.226,0.955139
1.640,293.215,0.949859
1.650,292.794,0.919453
1.660,292.133,0.877883
1.670,291.199,0.818908
1.680,290.684,0.761137
1.690,291.512,0.782748
1.700,292.660,0.702247
1.710,294.179,0.536055
1.720,369.477,0.724774
1.730,369.747,0.821908
1.740,371.052,0.894861
1.750,371.657,0.897914
1.760,372.293,0.900199
1.770,372.697,0.915191
